note_idx,title,content,image_path,content_length,label
26437,求求了，iOS怎么给软件开蓝牙权限啊,"昨儿刚买了个16pro，今儿早上美美的准备开个共享单车去地铁～好么～说我蓝牙没开，然后一顿操作猛如虎，根本找不到给滴滴开蓝牙的地方，微信就有专门的蓝牙开启按钮～滴滴就没有，而且能使用蓝牙的软件也只有微信和钉钉，怎么个意思～只能用于工作呗！
	
有没有姐妹能解决这个问题啊～很急的～[哭惹R][哭惹R][飞吻R][飞吻R]
已解决！所有电子产品终极解决大法：卸载重装！然后等待系统提示就好！",image/part_116/1162712/5203106.jpg,190,knowledge_tutorial
19505,isov素瑞施8大瓶 家用立省1K全攻略,"1均衡卸妆乳1000ml 
温和植物成分，无需乳化，就可以同时溶解面部眼唇多重彩妆，清除面部油脂和残留物预防毛孔堵塞敏感肌，痘痘，肌油肌等均可使用哦
	
2野蔷薇泡泡洁面1000ml 
5秒起泡，产生绵密细小的泡沫，软化角质，深入毛孔溶解油脂，带走代谢废物，同时补充肌肤营养，让肌肤“有氧畅快呼吸”
	
3均衡爽肤水1000ml 
温和舒缓，补水保湿，平衡水油，维稳敏感肌，帮助肌肤进行更好的自我修护
	
4胶原蛋白水1000ml 
小分子蛋白水渗透速度快，很强的保湿能力，补充流失的胶原蛋白，修护受损胶原纤维网，提亮肤色，让肌肤弹性加倍
	
5均衡按摩膏1000ml 
温和亲肤，滋润不油腻，给肌肤充水分的同时，改善肌肤粗糙，去除面部多余角质，让皮肤更加细腻嫩滑
	
6积雪草凝胶1000ml 
补水保湿，减少晒后干燥泛红等不适感，舒缓调节肌肤水油平衡，强韧屏障改善痘痘和痘印
	
7屏障修复乳1000ml 
为敏感肌和问题肌补充水分，缓解干燥脱皮和敏感，修复屏障，击褪暗沉，强韧肌肤，告别反复敏感
	
8黑头导出液1000ml 
软化长期堆积在毛孔里的黑头和油脂污垢，调节油脂分泌，疏通收缩毛孔，改善毛孔粗大，轻松去黑头
	
#皮肤护理[话题]# #洗护[话题]# #院线品牌[话题]# #每日护肤[话题]# #护肤保养[话题]# #院线产品[话题]# #护肤推荐[话题]# #身体护理全靠TA[话题]# #院线护肤[话题]# #舒缓[话题]# #isov软膜粉[话题]# #isov八大瓶[话题]# #isov面膜膏[话题]# #isov胶原蛋白营养水[话题]# #isov均衡爽肤水[话题]# #isov积雪草凝胶[话题]# #isov野蔷薇洁面[话题]# #ISOV均衡按摩霜[话题]# 




",image/part_115/1156365/5173601.jpg,691,fashion_beauty
47312,每日一记·专升本文学常识61,"📚鲁迅
✅鲁迅（1881年9月25日—1936年10月19日），原名周树人，曾用名周樟寿，字豫山，后改字豫才，浙江绍兴人。著名文学家、思想家、革命家、教育家、民主战士，新文化运动的重要参与者，中国现代文学的奠基人之一。
✅早年赴日本仙台留学，就读于医学专门学校，肄业，相识藤野严九郎。
✅1918年，以鲁迅为笔名发表中国现代文学史上第一篇用现代体式创作的白话短篇小说《狂人日记》，发表在《新青年》。
📝代表作：
小说集《呐喊》《彷徨》《故事新编》
杂文集《坟》《热风》《华盖集》《且介亭杂文》
散文集《朝花夕拾》
散文诗集《野草》
学术专著《中国小说史略》
#文学常识[话题]# #专升本语文[话题]# #专升本语文文学常识[话题]# #专升本大学语文[话题]# #现当代文学[话题]# #专升本资料[话题]# #专升本备考[话题]# #专升本学习打卡[话题]# #学习打卡[话题]# #语文积累[话题]# ",image/part_116/1166220/5219664.jpg,384,knowledge_tutorial
30599,🐟美妆来自火星的软妹,"更新：【号已经正常很久啦】
来自火星的软妹，被🐟关了小黑屋7天[哭惹R][哭惹R][哭惹R]姐妹们不要害怕，天地良心对天发誓我出的都是真的[哭惹R]朋友说是因为我出的便宜了",image/part_116/1162774/5203461.jpg,85,fashion_beauty
12048,想去云南旅游，到底怎么规划才合理。,"如果没有足够的时间，你很难完全看清云南，因为这里是中国最美最复杂的区域，它的多样性吸引着全世界的旅行者。今天就让我来告诉你，云南全境自由行的交通秘籍，为你的云南之行节省时间和精力，把旅行还给自由和风景。各地到昆明可以选择飞机或者高铁，这样比较节省时间！从昆明可以乘坐高铁前往：大理-丽江-香格里拉，腾冲，西双版纳，那么怎么规规才合理呢？这一篇我们将交通和方向。下一篇我们将各个地方怎么玩，吃什么，以及住宿怎么选。
玩转3大目的地开启云南之行！
云南是一个多入口、多出口的省，甚至可以从邻国出、入境，玩转东南亚。那么从哪里玩起呢？不如先定个小目标，也是最经典的路线，以丽江、大理、昆明为圆点，把周围的风光一网打尽，沿途玩耍，每一站都是不同的风景。
从地图上可以看到，昆明为中心向不同的方向辐射，如果您是先抵达昆明从昆明出发，请看下面这段。
昆明往北走，基本没有什么热门的景点，有一个小众适合自由行拍照的东川红土地。（没有高铁适合自驾或包车）
昆明往西走，拥有着丰富的旅游景点，我们常见的大理，腾冲，丽江，香格里，泸沽湖都是从西边以及西北方向一路深入。同时到达大理后开始分叉，继续向西行，就是前往腾冲。如果往西北方向走，将前往艳遇之都的丽江以及香格里拉。（昆明-大理-丽江-香格里拉，已经开通高铁）
大家熟知的西双版纳它在云南的南部，从昆明出发一路向南，就抵达了拥有植物王国，药材王国，动物王国之称的西双版纳。（昆明---西双版纳，已经开通高铁）
我们在出行之前需要根据自己的时间来规划前行的方向，因为各个景区的距离和跨度比较大，所有合理的规划方向尤为重要，避免将仅有的时间都用在坐车上面。
如果您是直接到达丽江，那么可以以丽江为中心点，游玩大理，香格里拉，泸沽湖，只是这个有点折腾，因为以丽江为中心点，这三个地方都在三个不同的方向。并且前往任何一个地方往返时间都不短。这个时候就要看我们出发的季节是在什么季节，根据季节选择最值得去的地方。
从丽江去大理，全年都适合，而且可以在大理有完后前往昆明，有更多的选择。
如果从丽江去香格里拉，那么最好的季节是4.5.6.月份，这个时候香格里拉的格桑花开的时候，非常漂亮，8.9.10月份前往香格里气候凉爽，而且色彩最为丰富。到了11月份，香格里拉开始下雪了。
从丽江前往泸沽湖，每年的3-10月是到泸沽湖旅游的最好季节，除7-9月雨季不适合前往。
每个地方玩哪里我们下期再会。
	

	
",image/part_115/1154913/5166628.jpg,996,food_travel
24203,点击体验超大熨板的快乐,"大熨板的熨烫效率是真的嘎嘎高哦
长款连衣裙、外套也能一气呵成一熨到底，省时又省力。
 #挂烫机[话题]#  #大板[话题]#  #华光电器[话题]#  #每日穿搭[话题]#  #好用[话题]# 	
",image/part_116/1165889/5218201.jpg,95,fashion_beauty
1966265,肖杨是武大史上第一位考入牛津大学的应届生,"offer5肖扬背景有多强大？武大第一位牛津大学硕士，风跃留学顾问
肖扬，1998年摩羯座，25岁，MBTI：istp。
本科毕业于武汉大学，取得法学学士和文学学士双学位。
硕士毕业于牛津大学，法学哲学硕士。
值得一提的是，肖扬是武汉大学历史上第一位成功进入牛津大学的本科应届生！
肖扬在本科期间不仅连续4年拿到了武汉大学优秀学生奖学金，还拿到了武大法学院的韩德培奖学金。
在牛津大学读硕士期间，获得了牛津大学法学院研究奖学金，以及汉坤青年法学奖学金。
在offer加更中，肖扬还提到要去瑞士攻读博士学位。
-
大结局肖扬没拿到offer让人有些意外，可有网友说肖扬并不缺这个offer，他的副业收入可观。
有网友好奇肖扬的副业工作内容，是不是类似于修改文书的工作。
据小白兔透露，肖扬的“副业收入”可不便宜。
肖扬的副业收入究竟有多贵呢？
或许可以参考2020年的一篇有关肖扬的报道。
在三年前，肖扬就加入了风跃法学，是文书顾问。
风跃法学是专门致力于世界顶级名校研究生项目留学申请的精英教育机构。
肖扬便是留学教育机构的顾问，辅导很多留学生完成申请留学业务。
根据肖扬的简历，他有很多帮助本科生成功留学诸如牛津大学、纽约大学、伦敦大学硕士的案例。
这篇是三年前的报道，也就是说肖扬22岁就开始从事法律文书的工作，真的是太厉害了！
-
不仅如此，肖扬的私服也很有品味，给人一种低调的绅士感，偏向经典的审美风格。
和汪雨橦一起出门的时候，肖扬还戴了黑色的YSL围巾，logo是红色的，红与黑的经典搭配。
-
节目中肖扬一直显得都比较低调，也是节目结束之后，大家才发现肖扬原来真的很有梗，是个“搞笑男”。
加更中看到骆律送给汪雨橦和张雅琪万宝龙，给别的实习生都馋哭了，肖扬大胆开麦，跟陈律说，说“骆律对自己的实习生很好，陈律也很好，但如果能再加一点，就更好了”，真是太敢说了！
#令人心动的OFFER[话题]# #肖杨[话题]# ",image/part_114/1140021/5098416.jpg,787,knowledge_tutorial
12988,酸菜炖雁鹅,"雁鹅是杂交品种
但是也挺肥，也有鸭鹅本身的那股味儿
酸菜炖鹅，可以改善那股味道
如果是女孩子自己拆鹅
还是需要厨房剪
先把关节的地方剪开
再用刀剁成小块
还是挺费体力的
切好之后，清水洗洗，把内脏尤其是肺弄干净
肺特别容易出血水
大铁锅烧干，用姜片擦一下锅（我爸说这样不沾，我看着也沾啊）
鹅肉块直接下锅炒
鹅脚丫不先放下去哦
鹅块翻炒到变焦黄，会出来很多很多油
把油倒出来
继续炒，放八角两颗，十几颗花椒，姜片随意
多点好
浇花雕酒，或者其他黄酒也可以
黄酒特别香，比料酒好用N倍
把黄酒炒到差不多干了
放没过鹅肉的热水
大火烧开，撇去浮沫
转小火，煮半小时
	
放盐，可以尝一下汤
别太咸
这个时间把酸菜用水冲洗一下
切成细条
攥干水分（我觉得叭攥攥就好，不用特别干）
另起一锅，放点油，把酸菜放进去炒
炒到香味出来就铺到鹅肉上
再煮20分钟左右就好啦
对了，喜欢吃辣椒的
放八角的时候，可以放些干辣椒
我比较喜欢吃粉条粉皮这类型的东西
最后10分钟又放了点干粉皮
香香
大冬天的，和喜欢的人一起吃酸菜炖大鹅叭
热气腾腾，还不腻
#酸菜[话题]# ",image/part_115/1153308/5159136.jpg,435,food_travel
34000,嫁给一个和尚,"青梅大大的【月明千里】——亦称嫁给一个和尚（20年的老文了）
“我是李家公主，是魏朝子民，是圣上的女儿，也是圣上的臣子”
“儿虽是女子，亦有报国之志，愿以身为国效力，在所不辞！”
“出不入兮往不反，平原忽兮路超远，带长剑兮挟秦弓，首身离兮心不惩，诚既勇兮又以武，终刚强兮不可凌，生即死兮神以灵，魂魄亦兮为鬼雄！”
“儿的舅父生前曾教导儿和兄长，苟利国家，不求富贵，保家卫国，不问前路。”
“舅父一家为护卫百姓，满门壮烈，以血肉铸就国朝的太平安稳，儿虽是女子，亦称谢家家训，愿向救父为国效忠，虽万死而不辞。”
时危见臣节，世乱识忠良
世家们为各自的利益汲汲营营，唯有谢家风骨凛然
如斯坚定
如斯迂腐
也如斯，让人钦佩
大魏公主出和亲，一身可抵百万兵。
愿河清海晏，终于，做到了。
正如他们，执手同道，相伴一生。
昙摩罗伽，李瑶英，七公主，佛子，摒弃前尘，此生无悔。
我的明月，我的道。
即使是一部架空古言，却更让我感受到了女主的家国大义与机警聪敏，是那种为救兄长的无所畏惧，是为保一方百姓安宁时所具有的大义凛然，是一直阳光明媚却可以不断丰满自己羽翼的白鹰，饱满又立体。
我不止一次在想这明明是李瑶英的个人成长史，为何要将她与佛子的情缘联系，后来我在一百章往后，知道了前面都是对这个任务的塑造以此来衬托他们的缘。
如果瑶英和李玄贞不是在乱世相遇，只是普通的赤壁人家，又会有怎样的缘分？
如果瑶英和海都阿陵不是俘虏者和被俘虏者的关系，他们一个是中原的文昭公主，一个是北戎的勇士，没有了国仇家恨的阻隔，又会有怎样的火花？
如果没有那么多的命中注定，那么瑶英和阿史那，年轻的少将军，又会怎样的幸福？
如果没有这风雨飘摇的乱世阻隔，如果没有重重的血情相连，李仲虔和瑶英该是多么令人艳羡的兄妹？这一次，没有家国大义将你我阻隔，亦没有东宫把戏缠绕不去，没有上一代的情缘掀起的血雨腥风，该，多好？
十四岁，不必去和亲，不必远离故土，同家乡，同故都，同那片山清水秀的大好山河阻隔
明月奴啊，可是，没有如果。
剧情的铺尘从来都不落俗套，看完，却惊觉有些空荡荡的失落感。
虽然没有如果，但正是这一切，造就了这段润物细无声却轰轰烈烈的爱情，造就了瑶英这样栩栩如生的女主
宏大的历史背景，复杂的社会关系，是这部巨作的衬托。
书中的一切情爱，皆是放在河清海晏，天下太平之后开始，家国大义在前，儿女情长在后，是这部书真正契合我的点之一。",image/part_114/1140915/5102434.jpg,975,knowledge_tutorial
21684,韭菜炒鸡蛋,"韭菜炒鸡蛋是有壮阳作用的。韭菜因为营养丰富又有温补肝肾，助阳固精的作用，所以在药典上有起阳草之称，韭菜性温，味辛具有补肾作用，可以用于治疗阳痿遗精早泄等病症，鸡蛋是一种高蛋白的食物，人体吸收率高达99.7%，由于鸡蛋所含的卵蛋白和卵球蛋白与人体的蛋白质组成相似，是性爱必不可少的营养物质。
     鸡蛋是增强人体性功能的最佳营养添加剂，是性爱后恢复元气最好的还原剂，主要的功能在于消除性交后的疲劳感在体内转化为精氨酸，增强精子的活力，是有壮阳作用的，韭菜富含蛋白质糖类脂肪维生素矿物质，是肾虚阳痿遗精早泄的辅助食疗佳品，韭菜炒鸡蛋，可以达到一个更好的壮阳效果。",image/part_114/1144461/5118512.jpg,275,food_travel
